                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.42786,                 1.8934,                 1.1753,                0.78021,                0.91815,                0.92555,                0.92232,                0.30461,                0.80761,                 0.9507,               0.067044,             0.00033289,             0.00033289
                      1,                0.13252,                 0.7664,                0.94423,                0.93521,                0.94549,                0.98333,                0.98232,                0.27384,                0.43779,                0.70836,               0.034011,             0.00063324,             0.00063324
                      2,                0.11059,                0.58951,                0.92077,                0.97789,                0.97089,                0.99228,                0.99124,                0.25994,                0.31972,                0.57064,             0.00094504,              0.0009006,              0.0009006
                      3,                0.10598,                0.52358,                0.90406,                0.98265,                0.98162,                0.99352,                0.99243,                 0.2307,                0.27543,                0.51589,              0.0008515,              0.0008515,              0.0008515
                      4,                 0.0974,                0.47204,                0.89699,                0.98394,                0.96304,                 0.9932,                0.99255,                0.20047,                0.28002,                0.44132,              0.0008515,              0.0008515,              0.0008515
                      5,                0.09275,                0.44534,                0.89329,                0.99277,                0.98665,                0.99419,                0.99388,                0.22383,                0.25196,                0.45079,               0.000802,               0.000802,               0.000802
                      6,                0.08527,                0.41545,                0.88804,                0.98948,                0.98155,                 0.9943,                0.99361,                 0.2413,                0.27843,                0.44966,              0.0007525,              0.0007525,              0.0007525
                      7,                0.08087,                0.38944,                0.88268,                0.99169,                0.98609,                0.99465,                0.99414,                0.15734,                0.25984,                0.39031,               0.000703,               0.000703,               0.000703
                      8,                0.07566,                0.36524,                 0.8785,                0.98813,                0.99176,                0.99477,                0.99424,                0.15401,                0.23694,                0.35704,              0.0006535,              0.0006535,              0.0006535
                      9,                0.07219,                0.34998,                  0.879,                0.99372,                0.98228,                0.99477,                0.99449,                0.19842,                0.25188,                0.40958,               0.000604,               0.000604,               0.000604
                     10,                0.05753,                0.16445,                0.90209,                0.98871,                0.98386,                0.99458,                0.99443,                0.15161,                0.21346,                0.33956,              0.0005545,              0.0005545,              0.0005545
                     11,                0.05038,                 0.1432,                0.89651,                0.99033,                0.98578,                0.99454,                 0.9942,                0.18692,                 0.2296,                0.36378,               0.000505,               0.000505,               0.000505
                     12,                0.04619,                0.12027,                 0.8928,                0.99324,                0.98727,                0.99472,                0.99451,                0.12805,                0.21742,                0.30962,              0.0004555,              0.0004555,              0.0004555
                     13,                0.04449,                0.10699,                0.89539,                0.99255,                0.98033,                0.99465,                0.99444,                0.13275,                0.20328,                0.31373,               0.000406,               0.000406,               0.000406
                     14,                0.04212,                0.10168,                0.89518,                0.99484,                0.99099,                0.99489,                0.99468,                0.11195,                0.17269,                0.28411,              0.0003565,              0.0003565,              0.0003565
                     15,                0.04045,                0.09115,                0.89018,                0.99488,                0.99035,                0.99485,                0.99464,                0.09434,                0.15694,                0.26097,               0.000307,               0.000307,               0.000307
                     16,                0.03775,                0.08124,                0.88972,                0.99558,                0.98911,                0.99488,                0.99468,                0.10181,                0.18385,                0.28028,              0.0002575,              0.0002575,              0.0002575
                     17,                0.03567,                0.07445,                0.89137,                0.99428,                0.99064,                0.99455,                0.99429,                0.13921,                 0.2225,                0.31027,               0.000208,               0.000208,               0.000208
                     18,                0.03214,                0.06451,                0.88878,                0.99263,                0.98647,                0.99478,                0.99467,                0.09645,                0.17157,                0.26011,              0.0001585,              0.0001585,              0.0001585
                     19,                0.03067,                0.05814,                0.89049,                0.99619,                0.98987,                0.99492,                0.99473,                0.09667,                 0.1596,                0.25813,               0.000109,               0.000109,               0.000109
